Timestamp,Category,Symbol,Company,CMP,Open,High,Low,Previous Close,Close,Volume,1 Day Change %,Top Headline,Recent News,Final Remarks
2026-08-13 17:39:56 IST,Gainer,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,1090.5,1061.9,1095.0,1058.2,1061.9,1090.5,1827014,2.69,,[],AI remarks unavailable.
2026-08-13 17:39:56 IST,Gainer,TMPV,Tata Motors Passenger Vehicles Limited,349.6,343.5,351.55,342.45,343.0,349.6,9528820,1.92,"TCS, TMPV, Tata Steel: Analyst flags key levels to track in Tata group stks","['TCS, TMPV, Tata Steel: Analyst flags key levels to track in Tata group stks', 'Sensex today | Stock Market Highlights: Sensex slips 187 pts to close at 77,966, Nifty ends at 24,435; TCS, M&M top losers', 'Why is the market falling today? Sensex falls over 550 points, Nifty below 24,300: Key factors', 'TCS, other Tata stocks fall up to 4% as N Chandrasekaran resigns', 'Markets open flat as crude stays near $90, inflation data in focus']",AI remarks unavailable.
2026-08-13 17:39:56 IST,Gainer,HINDUNILVR,Hindustan Unilever Limited,2092.0,2063.0,2092.0,2052.9,2063.0,2092.0,1186057,1.41,,[],AI remarks unavailable.
2026-08-13 17:39:56 IST,Gainer,NTPC,NTPC Limited,344.25,338.05,344.25,338.0,339.45,344.25,9672695,1.41,"Sensex today | Stock Market Highlights: Sensex slips 187 pts to close at 77,966, Nifty ends at 24,435; TCS, M&M top losers","['Sensex today | Stock Market Highlights: Sensex slips 187 pts to close at 77,966, Nifty ends at 24,435; TCS, M&M top losers', 'Finolex Cables shares jump 10% on strong Q1 performance; revenue crosses Rs 2,000 crore mark', 'ACME Solar avails long-term refinancing from NaBFID', ""US yield curve twists expose Trump's and Bessent's rate dilemma"", 'Shiprocket raises Rs 727 crore from anchor investors ahead of IPO launch']",AI remarks unavailable.
2026-08-13 17:39:56 IST,Gainer,SHRIRAMFIN,Shriram Finance Limited,1132.3,1135.0,1149.0,1124.3,1117.2,1132.3,3757182,1.35,,[],AI remarks unavailable.
2026-08-13 17:39:56 IST,Gainer,ETERNAL,ETERNAL LIMITED,318.0,315.0,319.35,313.3,314.05,318.0,26225284,1.26,,[],AI remarks unavailable.
2026-08-13 17:39:56 IST,Gainer,LT,Larsen & Toubro Limited,4070.7,4010.0,4070.7,3990.0,4020.0,4070.7,2299928,1.26,Dave Portnoy — a ‘legit Fever fan’ — wasn’t thrilled with Stephanie White’s fiery pregame speech,"['Dave Portnoy —\xa0a ‘legit Fever fan’ — wasn’t thrilled with Stephanie White’s fiery pregame speech', 'Show HN: Aakit – find every assumption your coding agent made, and which broke', 'Best Ad Trackers for Affiliate Marketing [2026 Guide]', 'Show HN: I took the calculator away from 50 LLMs and graded the arithmetic', 'Be prepared for the preseason with our Detroit Lions roster']",AI remarks unavailable.
2026-08-13 17:39:56 IST,Gainer,BEL,Bharat Electronics Limited,410.5,405.7,412.0,402.9,405.7,410.5,13819369,1.18,"In Bel Air, A Golden-Age Marriage Built A $40 Million House Full Of Secrets","['In Bel Air, A Golden-Age Marriage Built A $40 Million House Full Of Secrets', 'Sawan Amavasya 2026 Time: Shubh muhurat timings and 3 things to do on Hariyali Amavasya', 'Nicholas Hoult fans disappointed as he joins HBO Harry Potter as Gilderoy Lockhart', 'Nicholas Hoult cast in Harry Potter TV series', 'Which state has the best golf in the U.S.? Our definitive ranking settles the debate']",AI remarks unavailable.
2026-08-13 17:39:56 IST,Gainer,TCS,Tata Consultancy Services Limited,2375.0,2349.7,2375.0,2332.3,2349.7,2375.0,2123494,1.08,"Sensex today | Stock Market Highlights: Sensex slips 187 pts to close at 77,966, Nifty ends at 24,435; TCS, M&M top losers","['Sensex today | Stock Market Highlights: Sensex slips 187 pts to close at 77,966, Nifty ends at 24,435; TCS, M&M top losers', 'TCS shares tumble 4%, wipe out Rs 35,000 crore after N Chandrasekaran resigns. What should investors do?', 'Nifty August futures trade at a premium', 'Nifty slips below 24,450 as Tata selloff weighs on benchmarks']",AI remarks unavailable.
2026-08-13 17:39:56 IST,Gainer,TECHM,Tech Mahindra Limited,1639.0,1634.7,1652.8,1626.3,1625.0,1639.0,3492955,0.86,Tech Mahindra Launches Toronto Innovation Hub to Accelerate AI-led Enterprise Transformation in Canada,"['Tech Mahindra Launches Toronto Innovation Hub to Accelerate AI-led Enterprise Transformation in Canada', ""Tech Mahindra's AI-Powered Business-Aware Assurance Solution Wins TM Forum DTW Ignite 2026 Catalyst Award"", 'Tech Mahindra and Cisco Partner to Bring AI-Driven Security Service Edge to Global Enterprises', 'ABBYY 2026 Hackathon Winner Accelerates Mortgage Auditing Review Leveraging Document AI and Large Language Models', 'Data Center Transformation Market Projected to Reach $61.10 Billion by 2035 | SNS Insider']",AI remarks unavailable.
2026-08-13 17:39:56 IST,Gainer,ITC,ITC Limited,278.5,276.2,278.5,276.05,276.15,278.5,11335590,0.85,"Rajiv Singh Joins ITC Hotels as Head of Food & Beverages Marketing, ETBrandEquity","['Rajiv Singh Joins ITC Hotels as Head of Food & Beverages Marketing, ETBrandEquity', 'FMCG’s FII nightmare! $5.2 billion selloff in 12 straight months. Are stocks set for a rebound?', 'Nifty trades below 24,300 level; FMCG shares underpressure', 'Iron Branches: A Holiday Tale by\xa0S.R. Andrew', 'Align Technology Prevails in China Patent Infringement Action Against Angelalign']",AI remarks unavailable.
2026-08-13 17:39:56 IST,Gainer,M&M,Mahindra & Mahindra Limited,3428.2,3405.0,3440.0,3396.5,3403.6,3428.2,2288322,0.72,"Show HN: Aakit – find every assumption your coding agent made, and which broke","['Show HN: Aakit – find every assumption your coding agent made, and which broke', 'GMKtec Evo-T2 review: Panther Lake for a price', 'Show HN: I took the calculator away from 50 LLMs and graded the arithmetic', '5 Easy Ways to Install Python on Windows', 'EMO’s Altar II Squeezes a Mechanical Keyboard Into a 4.75mm Chassis']",AI remarks unavailable.
