Timestamp,Category,Symbol,Company,CMP,Open,High,Low,Previous Close,Close,Volume,1 Day Change %,Top Headline,Recent News,Final Remarks
2026-08-17 17:50:07 IST,Gainer,SHANTI-RE,Shanti Gold International Limited-RE,32.92,23.66,32.92,23.66,23.52,32.92,130863,39.97,Shanti Gold International Ltd. Share Price Live Today - CNBC TV18,['Shanti Gold International Ltd. Share Price Live Today - CNBC TV18'],AI remarks unavailable.
2026-08-17 17:50:07 IST,Gainer,BI,Bilcare Limited,92.17,86.0,92.17,79.2,76.81,92.17,719068,20.0,"【4901.T FY2026 Q1 Earnings Call】Bio CDMO Losses Balloon to ¥70 Billion, BI Partial IPO Planned; Revenue Hits Record on Semiconductor Materials but Operating Profit Slides 32% - finance.biggo.com","['【4901.T FY2026 Q1 Earnings Call】Bio CDMO Losses Balloon to ¥70 Billion, BI Partial IPO Planned; Revenue Hits Record on Semiconductor Materials but Operating Profit Slides 32% - finance.biggo.com', 'Three H-1B rejections later, an Indian techie secures O-1 ‘extraordinary ability’ Visa - livemint.com', 'Rupiah Gains Ahead of Key BI Policy Meeting - TradingView', 'Singer Dam-bi\'s daughter, ♥Lee Gyu-hyuk\'s bungeoppang 100%... ""As long as you don\'t get sick"" Happiness [Star Issue] - starnewskorea.com', ""Kwon Eun-bi's Cafe Operated with Pet Dog's Stake - 조선일보""]",AI remarks unavailable.
2026-08-17 17:50:07 IST,Gainer,PAKKA,PAKKA LIMITED,89.28,77.3,89.28,75.89,74.4,89.28,1787278,20.0,"Pakka Limited Reports Earnings Results for the Fourth Quarter and Full Year Ended March 31, 2026 - marketscreener.com","['Pakka Limited Reports Earnings Results for the Fourth Quarter and Full Year Ended March 31, 2026 - marketscreener.com', 'Pakka Q1 Results: Net profit falls 4% YoY to ₹3.07 lakh - scanx.trade', 'Pakka reports consolidated net profit of Rs 5.89 crore in the June 2026 quarter - Business Standard', 'Pakka Limited Confirms No Deviation in Preferential Issue Fund Use - TipRanks', 'Pakka Limited Discloses SEBI Warning Over Disclosure Lapses - TipRanks']",AI remarks unavailable.
2026-08-17 17:50:07 IST,Gainer,HINDADH,Hindustan Adhesives Limited,335.55,335.55,335.55,335.55,279.65,335.55,6463,19.99,"20% Upper Circuit: Stock Skyrockets After Reporting 1,044% QoQ Net Profit Growth in Q1 - Trade Brains","['20% Upper Circuit: Stock Skyrockets After Reporting 1,044% QoQ Net Profit Growth in Q1 - Trade Brains']",AI remarks unavailable.
2026-08-17 17:50:07 IST,Gainer,UFLEX,UFLEX Limited,586.05,555.0,586.05,545.0,488.4,586.05,3734414,19.99,"Earnings call transcript: Uflex Q1 2026 profit surges, shares jump 20% - Investing.com","['Earnings call transcript: Uflex Q1 2026 profit surges, shares jump 20% - Investing.com', 'Uflex Limited Reports Earnings Results for the First Quarter Ended June 30, 2026 - marketscreener.com', 'Uflex shares surge 16% after Q1 profit zooms 630% YoY - The Economic Times', 'UFLEX: Q1 FY27 saw robust revenue and profit growth, with new recycling operations and ongoing tax appeals - TradingView', 'UFlex Expects Revenue Growth And Healthy EBITDA Margins From Egypt Line - Sahi']",AI remarks unavailable.
2026-08-17 17:50:07 IST,Gainer,MODTHREAD,Modern Threads (India) Limited,57.63,52.0,57.93,51.2,48.28,57.63,192105,19.37,Modern Threads (India) Ltd. (MODTHREAD) Share Price Rises 20% Today - Univest,"['Modern Threads (India) Ltd. (MODTHREAD) Share Price Rises 20% Today - Univest', 'Modern Threads Q1 Results: Net profit up 9,800% YoY to ₹588 lakh - scanx.trade', 'Volume Gainers, August 17, 2026, 11:30 AM IST - HDFC Sky']",AI remarks unavailable.
2026-08-17 17:50:07 IST,Gainer,TPHQ,Teamo Productions HQ Limited,0.58,0.56,0.58,0.54,0.49,0.58,5686531,18.37,20% Upper Circuit: Stock Skyrockets After Reporting 811% YoY Increase in Net Profit - Trade Brains,"['20% Upper Circuit: Stock Skyrockets After Reporting 811% YoY Increase in Net Profit - Trade Brains', 'Teamo Productions HQ Publishes Q1 FY27 Unaudited Results in Newspapers - TipRanks']",AI remarks unavailable.
2026-08-17 17:50:07 IST,Gainer,DHATRE,Dhatre Udyog Limited,4.29,3.67,4.39,3.67,3.66,4.29,95719,17.21,"Dhatre Udyog Limited Reports Earnings Results for the First Quarter Ended June 30, 2026 - marketscreener.com","['Dhatre Udyog Limited Reports Earnings Results for the First Quarter Ended June 30, 2026 - marketscreener.com', 'Dhatre Udyog Q1 Results: Net Loss Widens To ₹29.28 Lakh As Revenue Drops - scanx.trade', 'Dhatre Udyog: Approves Q1 FY27 Unaudited Results with Net Loss - InvestyWise', 'Dhatre Udyog reports standalone net loss of Rs 0.29 crore in the June 2026 quarter - Business Standard', 'Dhatre Udyog Q1FY26 net profit hits ₹573 lakh on OCI surge - scanx.trade']",AI remarks unavailable.
2026-08-17 17:50:07 IST,Gainer,PREMIERPOL,Premier Polyfilm Limited,85.45,75.02,85.45,74.05,73.55,85.45,3454869,16.18,Premier Polyfilm Ltd. Share Price Today: Price Action View - Univest,['Premier Polyfilm Ltd. Share Price Today: Price Action View - Univest'],AI remarks unavailable.
2026-08-17 17:50:07 IST,Gainer,SHERVANI,Shervani Industrial Syndicate Limited,337.0,300.05,352.0,300.05,294.0,337.0,226,14.63,Shervani Industrial Syndicate consolidated net profit rises 291.18% in the June 2026 quarter - Business Standard,"['Shervani Industrial Syndicate consolidated net profit rises 291.18% in the June 2026 quarter - Business Standard', 'Shervani Industrial Syndicate posts profit; appoints new Executive Director - Whalesbook', 'Delhi High Court Orders Meta To Takedown AI Videos Linking Former Union Minister Saleem Iqbal Shervani To ... - Live Law', 'Shervani Indust Standalone June 2026 Net Sales at Rs 4.60 crore, down 40.95% Y-o-Y - Moneycontrol.com', 'Shervani Industrial Syndicate Ltd is Rated Strong Sell - MarketsMojo']",AI remarks unavailable.
2026-08-17 17:50:07 IST,Gainer,SUMEDHA,Sumedha Fiscal Services Limited,45.0,39.27,47.0,39.0,39.27,45.0,1004,14.59,"Sumedha Fiscal publishes Q1FY26 results in newspapers, net profit rises 14% - scanx.trade","['Sumedha Fiscal publishes Q1FY26 results in newspapers, net profit rises 14% - scanx.trade', 'Sumedha Fiscal Services Q1 Results: లాభాల బాట పట్టిన కంపెనీ.. కానీ ఆదాయంలో తగ్గుదల! - Whalesbook', 'Sumedha Fiscal Services consolidated net profit rises 13.75% in the June 2026 quarter - Business Standard', 'Sumedha Fiscal Services Turns Profitable With ₹3.24 Crore Net Profit - Whalesbook', 'Prayan Animation strengthens global ambitions with Sumedha Saraogi - Animation Xpress']",AI remarks unavailable.
2026-08-17 17:50:07 IST,Gainer,KHAICHEM,Khaitan Chemicals & Fertilizers Limited,59.9,52.02,60.5,52.02,52.37,59.9,1627884,14.38,Khaitan Chemicals & Fertilizers Ltd. (KHAICHEM) Share Price Rises 10.63% as Stock Enters Top Gainers Today - univest.in,['Khaitan Chemicals & Fertilizers Ltd. (KHAICHEM) Share Price Rises 10.63% as Stock Enters Top Gainers Today - univest.in'],AI remarks unavailable.
2026-08-17 17:50:07 IST,Gainer,ASIANENE,Asian Energy Services Limited,427.8,375.5,432.0,372.0,374.4,427.8,1788634,14.26,"Asian Energy Services Limited Reports Earnings Results for the First Quarter Ended June 30, 2026 - marketscreener.com","['Asian Energy Services Limited Reports Earnings Results for the First Quarter Ended June 30, 2026 - marketscreener.com', 'Asian Energy Services Files June-Quarter Unaudited Results with SEBI - TipRanks', 'Asian Energy Services Share Price Today: Price Rise Review - Univest']",AI remarks unavailable.
2026-08-17 17:50:07 IST,Gainer,VIKRAMSOLR,Vikram Solar Limited,182.8,163.0,186.5,161.47,160.15,182.8,65091295,14.14,Vikram Solar’s Q1 FY27 Profit Falls Despite 38% Revenue Growth - TaiyangNews,"['Vikram Solar’s Q1 FY27 Profit Falls Despite 38% Revenue Growth - TaiyangNews', 'Vikram Solar Limited Enhances Proposed Wafer and Ingot Manufacturing Facility Capacity At Gangaikondan Site - marketscreener.com', 'Vikram Solar Launches 6 GW Solar Module Plant in Gangaikondan, Tamil Nadu - Saur Energy']",AI remarks unavailable.
