ticker,category,sector
GICRE,MidCap,Financial Services
GILLANDERS,SmallCap,
GILLETTE,SmallCap,Fast Moving Consumer Goods
GINNIFILA,SmallCap,
GIPCL,SmallCap,
GKENERGY,SmallCap,
GKSL,SmallCap,
GKWLIMITED,SmallCap,
GLAND,SmallCap,Healthcare
GLAXO,MidCap,Healthcare
GLENMARK,MidCap,Healthcare
GLFL,SmallCap,
GLOBAL,SmallCap,
GLOBALE,SmallCap,
GLOBALVECT,SmallCap,
GLOBE,SmallCap,
GLOBECIVIL,SmallCap,
GLOBUSSPR,SmallCap,
GLOSTERLTD,SmallCap,
GLOTTIS,SmallCap,
GMBREW,SmallCap,
GMDCLTD,SmallCap,Metals & Mining
GMMPFAUDLR,SmallCap,
GMRAIRPORT,MidCap,Services
GMRP&UI,SmallCap,
GNA,SmallCap,
GNFC,SmallCap,
GNRL,SmallCap,
GOACARBON,SmallCap,
GOCLCORP,SmallCap,
GOCOLORS,SmallCap,
GODAVARIB,SmallCap,
GODFRYPHLP,MidCap,Fast Moving Consumer Goods
GODIGIT,SmallCap,Financial Services
GODREJAGRO,SmallCap,
GODREJCP,LargeCap,Fast Moving Consumer Goods
GODREJIND,MidCap,Diversified
GODREJPROP,MidCap,Realty
GOKEX,SmallCap,
GOKUL,SmallCap,
GOKULAGRO,SmallCap,
GOLDIAM,SmallCap,
GOLDTECH,SmallCap,
GOODLUCK,SmallCap,
GOODYEAR,SmallCap,
GOPAL,SmallCap,
GOYALALUM,SmallCap,
GPIL,SmallCap,Capital Goods
GPPL,SmallCap,
GPTHEALTH,SmallCap,
GPTINFRA,SmallCap,
GRADIENTE,SmallCap,
GRANDOAK,SmallCap,
GRANULES,SmallCap,Healthcare
GRAPHITE,SmallCap,Capital Goods
GRASIM,LargeCap,Construction Materials
GRAUWEIL,SmallCap,
GRAVISSHO,SmallCap,
GRAVITA,SmallCap,Metals & Mining
GREAVESCOT,SmallCap,
GREENLAM,SmallCap,
GREENPANEL,SmallCap,
GREENPLY,SmallCap,
GREENPOWER,SmallCap,
GRINDWELL,SmallCap,
GRINFRA,SmallCap,
GRMOVER,SmallCap,
GROBTEA,SmallCap,
GROWW,MidCap,Financial Services
GRPLTD,SmallCap,
GRSE,SmallCap,Capital Goods
GRWRHITECH,SmallCap,
GSFC,SmallCap,
GSLSU,SmallCap,
GSPCROP,SmallCap,
GSS,SmallCap,
GTECJAINX,SmallCap,
GTL,SmallCap,
GTLINFRA,SmallCap,
GTPL,SmallCap,
GUFICBIO,SmallCap,
GUJALKALI,SmallCap,
GUJAPOLLO,SmallCap,
GUJENERGY,SmallCap,
GUJRAFFIA,SmallCap,
GUJTHEM,SmallCap,
GULFOILLUB,SmallCap,
GULFPETRO,SmallCap,
GULPOLY,SmallCap,
GVKPIL,SmallCap,
GVPIL,SmallCap,
GVPTECH,SmallCap,
GVT&D,MidCap,Capital Goods
GYFTR,SmallCap,
HAL,LargeCap,Capital Goods
HALDER,SmallCap,
HALDYNGL,SmallCap,
HALEOSLABS,SmallCap,
HAPPSTMNDS,SmallCap,
HAPPYFORGE,SmallCap,
HARDWYN,SmallCap,
HARIOMPIPE,SmallCap,
HARRMALAYA,SmallCap,
HARSHA,SmallCap,
HATHWAY,SmallCap,
HATSUN,SmallCap,
HAVELLS,MidCap,Consumer Durables
HAVISHA,SmallCap,
HAWKINCOOK,SmallCap,
HBESD,SmallCap,
HBLENGINE,SmallCap,Capital Goods
HBSL,SmallCap,
HCC,SmallCap,
HCG,SmallCap,
HCL-INSYS,SmallCap,
HCLTECH,LargeCap,Information Technology
HDBFS,MidCap,Financial Services
HDFCAMC,LargeCap,Financial Services
HDFCBANK,LargeCap,Financial Services
HDFCLIFE,LargeCap,Financial Services
HEADSUP,SmallCap,
HEALTHX,SmallCap,
HECPROJECT,SmallCap,
HEG,SmallCap,Capital Goods
HEIDELBERG,SmallCap,
HEMIPROP,SmallCap,
HERANBA,SmallCap,
HERITGFOOD,SmallCap,
HEROMOTOCO,MidCap,Automobile and Auto Components
HESTERBIO,SmallCap,
HEXAGON,SmallCap,
HEXATRADEX,SmallCap,
HEXT,MidCap,Information Technology
HFCL,SmallCap,Telecommunication
HGINFRA,SmallCap,
HGM,SmallCap,
HGS,SmallCap,
HIKAL,SmallCap,
HILINFRA,SmallCap,
HILTON,SmallCap,
HIMATSEIDE,SmallCap,
HINDALCO,LargeCap,Metals & Mining
HINDCOMPOS,SmallCap,
HINDCON,SmallCap,
HINDCOPPER,SmallCap,Metals & Mining
HINDOILEXP,SmallCap,
HINDPETRO,MidCap,Oil Gas & Consumable Fuels
HINDUNILVR,LargeCap,Fast Moving Consumer Goods
HINDWAREAP,SmallCap,
HINDZINC,LargeCap,Metals & Mining
HIRECT,SmallCap,
