# --------------------------------------------------------------------------------------,,,,,,,,,,,,,,,
# wishlist.csv  —  STOCKS YOU'RE WATCHING (not yet bought),,,,,,,,,,,,,,,
# --------------------------------------------------------------------------------------,,,,,,,,,,,,,,,
# See wishlist_app.py header for full schema documentation.,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# REQUIRED : ticker, signal_date, signal_price,, target_price,,,,,,,,,,,
# OPTIONAL : expected_days, expected_confidence, stop_price,,,,,,,,,,,,,
#            category, strategy, regime_at_signal,, trade_type, priority,,,,,,,,,,
#            sector, notes,,,,,,,,,,,,,,
# All optional fields auto-derived at load time if left blank.,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# CATEGORY (auto-derived from NSE universe buckets when blank):,,,,,,,,,,,,,,,
#   LargeCap / MidCap / SmallCap / Nifty500 / AllNSE,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# STRATEGY (which scanner rule fired — enables per-strategy analytics later):,,,,,,,,,,,,,,,
#   PASS_combined / PASS_recommended / PASS_tight / PASS_balanced / PASS_reversal,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# REGIME_AT_SIGNAL (market regime when signal fired — auto-derived from,,,,,,,,,,,,,,,
#   Nifty 500 bench data at signal_date if blank):  RISK-ON / NEUTRAL / RISK-OFF,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# TRADE_TYPE:  UPTREND / DOWNTREND  (default UPTREND),,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# PRIORITY (your own watch level):  high / medium / low  (default medium),,,,,,,,,,,,,,,
# --------------------------------------------------------------------------------------,,,,,,,,,,,,,,,
ticker,signal_date,Last close,BUY limit ?,target_price,expected_days,stop_price,expected_confidence,News Score,category,strategy,regime_at_signal,trade_type,priority,sector,notes
BELRISE,09-08-2026,248.21,246.97,284.02,15d ? thin,233.25,0.96,0,,PASS_combined,,UPTREND,,Automobile and Auto Components,Signaled fro today after scanning the market
HONASA,09-08-2026,477.6,475.21,546.49,21d,446.65,0.38,0,,PASS_combined,,UPTREND,,Fast Moving Consumer Goods,Signaled fro today after scanning the market
PTCIL,09-08-2026,19076,18980.62,21827.71,8d,18019.36,0,0,,PASS_combined,,UPTREND,,Capital Goods,Signaled fro today after scanning the market
PGEL,09-08-2026,630.65,627.5,721.62,8d,582.67,0,0,,PASS_combined,,UPTREND,,Consumer Durables,Signaled fro today after scanning the market
TATATECH,09-08-2026,872.8,868.44,998.71,3d ? thin,808.01,0,0,,PASS_combined,,UPTREND,,Information Technology,Signaled fro today after scanning the market
SONACOMS,09-08-2026,818.05,813.96,936.05,14d,766.8,0,0,,PASS_combined,,UPTREND,,Automobile and Auto Components,Signaled fro today after scanning the market
EMCURE,09-08-2026,,,,,,,0.291,,,,,,Healthcare,"Only news no technical analysis: Earnings Beat: Emcure Pharmaceuticals Limited Just Beat Analyst Forecasts, And Analysts Have Been UpdatingOnly news no technical analysis:  Their Models - simplywall.st"
NCC,09-08-2026,,,,,,,0.245,,,,,,Construction,"Only news no technical analysis:NCC shares in focus after Q1 profit rises 13%, margin improves - Moneycontrol.com"
AFFLE,09-08-2026,,,,,,,0.185,,,,,,Information Technology,Only news no technical analysis:Affle 3i net profit rises 22% in Q1FY27 on strong revenue growth - scanx.trade
KAYNES,09-08-2026,,,,,,,-0.245,,,,,,Capital Goods,"Only news no technical analysis: misses estimates,profit falls,strong q1"
DELHIVERY,09-08-2026,,,,,,,-0.394,,,,,,Services,"Only news no technical analysis: profit declines,profit falls,tumbles"
ZEEL,09-08-2026,,,,,,,-0.941,,,,,,Media Entertainment & Publication,"Only news no technical analysis: plunge,sebi order"
